"sub"	"oe"	"covid_vax_attitude"
225	"Of course any one of those vaccines would be great,if that were really the numbers.Who wouldnt want to be protected from death or severe illness.The only reason i have never gotten a vaccine is because it simply is not that important or worth my time.If they worked they definantly would be.Covids first peak,when it 1st started and we were seeing over 200,000 cases a day,remember that,that was before we had vaccines.Then once 80% of america was vaccinated we were seeing as high as 1.5 million new cases a day.Then all the bullshit about the vaccines doesnt work on omicron.Well if that was the case,then whats the point.And i am definantly not one of those morons who think the vaccine gives people covid,or those idots that bitch about wearing masks,its just a piece of cloth wear it and shut up.I am a total believer in vaccines,i have never had polio or smallpox,and i dont know anyone that has.When someone says that there are covid vaccines,and then still 100`s upon 100`s of thousand of people that have gotten 2 shots and a booster get covid,kinda takes the magic out of the word vaccine.And if our goverment was to leave everything up to the person to get it or not,and have no mandates whatsoever 99% of people would of gotten it.If they were honest and came right out and said....We have a shot that may make covid less severe maybe,were not promising you anything, but will definantly NOT stop you from getting covid.You can get 2 shots and 14 boosters and still get covid.But as our gift to you it is free.And after all the testing there are low to no risks associated with it,and if you act now we will throw in a new 4-slice,2 temperature toaster by cuisinart.See how ridiculous that just sounded,thats how ridiculous all the experts pushing a vaccine that doesnt stop people from getting the disease it is designed for.The craziest thing is all the famous people and goverment employees that were most outspoken about it,and preached the most to put mandates in place all ended up with covid,and that was after both shots and boosted.Long story short,if it was to stop me from getting covid,i would get the vaccine"	"Neutral"
226	"I looked at all the categories and thought about how I would rather take my chances with a virus that I have a high chance of recovering of without a vaccine."	"Anti"
227	"I just tried to check everything."	"Pro"
228	"I was looking for only the best with the higher results"	"Pro"
229	"It depended on where it came from and the side effects"	"Anti"
230	"I looked mainly at effectiveness and also for those that provided higher rates of COVID protection overall, especially for just getting COVID, not just severe or death risk.  I wanted to have the vaccine that prevented even getting COVID at all. I think my search behavior reflects my own risk assessment for myself as someone who is otherwise in good health and just wants to avoid the virus."	"Pro"
231	"No. I just evaluated what was there."	"Neutral"
232	"no"	"Pro"
233	"I cared a lot about the effectiveness of the vaccine than anything"	"Pro"
234	"I would go for the one with the lower risks about important health issues"	"Neutral"
235	"I did not search for information about vaccines.  My choices were made depending on the effectiveness VS the side effects."	"Pro"
236	"nothing from china or outside the us was my main reason"	"Pro"
237	"Tried to imagine the side effects on myself, and whether the vaccine seemed like it offered reasonable protection."	"Pro"
238	"I have already done a lot of researching and was familiar with the vaccines available. I would like to get Novavax but for some reason the USA is really taking their time approving it for use compared to all of the other countries Novavax filed for emergency use authorisation. Even then I don't feel it is necessary that I receive it."	"Anti"
239	"A general consensus from my doctors and nurses"	"Pro"
240	"Severity of side effect and protection aginst covid 19 infection\/death"	"Pro"
241	"No"	"Pro"
242	"I first looked at the effectiveness and then the side effects."	"Pro"
243	"null"	"Neutral"
244	"Unless there were severe side effects in a majority of people, I indicated that I would get the vaccine"	"Pro"
245	"I looked at all of the options"	"Neutral"
246	"I do not get vaccines, PERIOD."	"Anti"
247	"I searched the side effects and overall effectiveness of the vaccine."	"Pro"
248	"no"	"Anti"
249	"null"	"Anti"
250	"I used the information I gathered when deciding what vaccination to get."	"Pro"
251	"I looked at the percentage of serious side effects, then less serious versus vaccine efficiency."	"Neutral"
252	"I generally looked at overall effectiveness vs. how often negative side-affects were encountered."	"Pro"
253	"null"	"Neutral"
254	"I based my decisions on the effectiveness, and the side effects. For the Johnson vaccine, I based my decision on the name only."	"Pro"
255	"I mainly find the effectiveness and no severe side effects. I think my search behavior is normal and good."	"Pro"
256	"I think side effects influenced me the most."	"Pro"
257	"I knew Moderna and Pfeizer were the most effective. Johnson & Johnson is somewhat effective. I'm not sure about the other ones, though I heard the chinese vaccines weren't effective against omicron which is why they're locking down their cities. This is information I already knew."	"Pro"
